OBJECTID	NAMOBJ	REMARK	x	y
1776	Puskesmas Pembantu Desa Bumi Jaya	Puskesmas/Puskesmas Pembantu	118.251555	1.49934100000002
1777	Puskesmas Pembantu Desa Campursari	Puskesmas/Puskesmas Pembantu	118.287399	1.47532999999999
1778	Puskesmas Pembantu Desa Sumberagung	Puskesmas/Puskesmas Pembantu	118.318826	1.47032100000001
1779	Puskesmas Pembantu Desa Kayuindah	Puskesmas/Puskesmas Pembantu	118.31484	1.432299
1780	Puskesmas Pembantu Desa Himbalestari	Puskesmas/Puskesmas Pembantu	117.014040006	0.649691959999984
1781	Puskesmas Sangkulirang	Puskesmas/Puskesmas Pembantu	117.983259	0.989398005999988
1782	Puskesmas Pembantu Desa Ciptagraha	Puskesmas/Puskesmas Pembantu	117.883787015	0.998440990000006
1783	Puskesmas Pembantu Desa Bumi Jaya	Puskesmas/Puskesmas Pembantu	117.847315008	1.020453041
1784	Puskesmas Pembantu Desa Bumirapak	Puskesmas/Puskesmas Pembantu	117.859237008	1.04602396500002
1785	Puskesmas Kaubun	Puskesmas/Puskesmas Pembantu	117.857024018	1.082037985
1786	Puskesmas Pembantu Desa Mataair	Puskesmas/Puskesmas Pembantu	117.795591038	1.07798902299999
1787	Puskesmas Pembantu Desa Kadunganjaya	Puskesmas/Puskesmas Pembantu	117.833569022	1.18672301100003
1788	Puskesmas Pembantu Desa Pengadan Baru	Puskesmas/Puskesmas Pembantu	117.812711997	1.20158001800002
1789	Puskesmas Pembantu Desa Tepianterap	Puskesmas/Puskesmas Pembantu	117.904327959	1.21507697700002
1790	Puskesmas Pembantu Desa Pelawan	Puskesmas/Puskesmas Pembantu	117.880722005	1.19267399400002
1791	Puskesmas Pembantu Desa Sempayau	Puskesmas/Puskesmas Pembantu	117.883535977	1.13551603600001
1792	Puskesmas Pembantu Desa Saka	Puskesmas/Puskesmas Pembantu	118.000664022	1.04392597499998
1793	Puskesmas Pembantu Desa Mandupantaisejahtera	Puskesmas/Puskesmas Pembantu	117.996028997	1.057584034
1794	Puskesmas Pembantu Desa Kolek	Puskesmas/Puskesmas Pembantu	117.92826701	1.00018995800002
1795	Puskesmas Pembantu Desa Peridan	Puskesmas/Puskesmas Pembantu	118.004950024	0.998900988999992
1796	Puskesmas Pembantu Desa Pulau Miang	Puskesmas/Puskesmas Pembantu	118.013176024	0.742554981000012
1797	Puskesmas Pembantu Desa Tanjungmanis	Puskesmas/Puskesmas Pembantu	118.06578001	0.909108006999986
1798	Puskesmas Tebanganlembak	Puskesmas/Puskesmas Pembantu	117.485601	0.80777599999999
1799	Puskesmas Pembantu Desa Sekerat	Puskesmas/Puskesmas Pembantu	117.773089	0.775269999999978
1800	Puskesmas Pembantu Desa Muarabengalon	Puskesmas/Puskesmas Pembantu	117.701613	0.631641000000002
1801	 	Puskesmas/Puskesmas Pembantu	111.742704053	0.841106083999989
1802	 	Puskesmas/Puskesmas Pembantu	111.785778769	0.801894343000015
1803	 	Puskesmas/Puskesmas Pembantu	111.859101879	0.914071331000002
1804	 	Puskesmas/Puskesmas Pembantu	126.180348981	-3.608433085
1805	 	Puskesmas/Puskesmas Pembantu	126.402459155	-3.71388025700003
1806	 	Puskesmas/Puskesmas Pembantu	126.360625146	-3.702404849
1807	 	Puskesmas/Puskesmas Pembantu	126.508071302	-3.77736402699998
1808	 	Puskesmas/Puskesmas Pembantu	126.542484844	-3.78801955900002
1809	 	Puskesmas/Puskesmas Pembantu	126.708212832	-3.84858058200001
1810	 	Puskesmas/Puskesmas Pembantu	126.721901717	-3.84510997400002
1811	 	Puskesmas/Puskesmas Pembantu	126.812370085	-3.80263201899999
1812	 	Puskesmas/Puskesmas Pembantu	126.837603058	-3.79296829899999
1813	 	Puskesmas/Puskesmas Pembantu	126.958757766	-3.76142070200001
1814	 	Puskesmas/Puskesmas Pembantu	126.527473222	-3.56720152899999
1815	 	Puskesmas/Puskesmas Pembantu	126.893158614	-3.52028055699998
1816	 	Puskesmas/Puskesmas Pembantu	126.9939498	-3.725653529
1817	 	Puskesmas/Puskesmas Pembantu	127.178629877	-3.82685152300002
1818	 	Puskesmas/Puskesmas Pembantu	127.2375895	-3.85145359900002
1819	 	Puskesmas/Puskesmas Pembantu	127.160833603	-3.830647317
1820	 	Puskesmas/Puskesmas Pembantu	127.197650793	-3.89124688599998
1821	 	Puskesmas/Puskesmas Pembantu	127.08727302	-3.68041734399998
1822	 	Puskesmas/Puskesmas Pembantu	127.114235092	-3.66455195499998
1823	 	Puskesmas/Puskesmas Pembantu	127.136239849	-3.66058348500002
1824	 	Puskesmas/Puskesmas Pembantu	127.154994033	-3.66615629500001
1825	 	Puskesmas/Puskesmas Pembantu	127.243127814	-3.577589225
1826	 	Puskesmas/Puskesmas Pembantu	126.040335374	-3.39707511
1827	 	Puskesmas/Puskesmas Pembantu	126.019001314	-3.17613613200001
1828	 	Puskesmas/Puskesmas Pembantu	126.236454332	-3.13335049199998
1829	 	Puskesmas/Puskesmas Pembantu	126.433789146	-3.08658664000001
1830	 	Puskesmas/Puskesmas Pembantu	126.468567541	-3.085757581
1831	 	Puskesmas/Puskesmas Pembantu	126.485244982	-3.08228143899998
1832	 	Puskesmas/Puskesmas Pembantu	126.283308527	-3.10914645899999
1833	 	Puskesmas/Puskesmas Pembantu	126.595624522	-3.30951763299998
1834	 	Puskesmas/Puskesmas Pembantu	126.584632007	-3.38383629800001
1835	 	Puskesmas/Puskesmas Pembantu	126.553116123	-3.419514214
1836	 	Puskesmas/Puskesmas Pembantu	126.990789224	-3.37247983100002
1837	 	Puskesmas/Puskesmas Pembantu	126.992562513	-3.372022394
1838	 	Puskesmas/Puskesmas Pembantu	126.95306434	-3.43738916199999
1839	 	Puskesmas/Puskesmas Pembantu	126.909732909	-3.47119848900002
1840	 	Puskesmas/Puskesmas Pembantu	126.971666395	-3.33122053300002
1841	 	Puskesmas/Puskesmas Pembantu	126.576682156	-3.072343821
1842	 	Puskesmas/Puskesmas Pembantu	126.6109085	-3.07049596799999
1843	 	Puskesmas/Puskesmas Pembantu	126.672235951	-3.07356080400001
